row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1076,True,glove,add,cosine_similarity,Linear Regression,english_language_arts,validation_df,42,0,0,2023-05-28 01:08:40,0.7051142666075815,0.3223003074713286,3.2148873775515084e-10,0.4490358126721763,0.3993894763343404,0.3731697909434544,0.2853583422319204,0.4490358126721763,0.4490358126721763,0.4490358126721763,0.4872160391334382,0.4490358126721763,0.3450023450318897
1077,True,glove,add,cosine_similarity,Ridge Regression,english_language_arts,train_df,42,0,0,2023-05-28 01:08:40,0.6940937230413048,0.3241938752010464,3.0776972750798764e-63,0.4708661417322834,0.2914437689969605,0.2757149208896793,0.2145316676201658,0.4708661417322834,0.4708661417322834,0.4708661417322834,0.454231314170835,0.4708661417322834,0.3562468244766947
1078,True,glove,add,cosine_similarity,Ridge Regression,english_language_arts,test_df,42,0,0,2023-05-28 01:08:40,0.712821709053223,0.3146526383482619,3.785158292168573e-18,0.4393939393939394,0.3629629629629629,0.3582211342309261,0.2661758114840288,0.4393939393939394,0.4393939393939394,0.4393939393939394,0.419314355677992,0.4393939393939394,0.3207284729128745
1079,True,glove,add,cosine_similarity,Ridge Regression,english_language_arts,validation_df,42,0,0,2023-05-28 01:08:40,0.70538465044069,0.3223003074713287,3.2148873775515084e-10,0.443526170798898,0.4002132196162047,0.3687572321221939,0.2759180790960452,0.443526170798898,0.443526170798898,0.443526170798898,0.4882523627435432,0.443526170798898,0.3333848889511447
1080,True,BERT,avg,cosine_similarity,Isotonic Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:40,0.5676368729183229,0.6261367740302625,1.404932364889771e-50,0.5619469026548672,0.6717526742682497,0.54378532867577,0.5833300361360343,0.5619469026548672,0.5619469026548672,0.5619469026548672,0.6043856646946658,0.5619469026548672,0.5716210526698315
1081,True,BERT,avg,cosine_similarity,Isotonic Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:40,0.6642771142047953,0.4424176155955738,1.525340230720593e-07,0.4806201550387597,0.5708115639150122,0.4726592295957284,0.504590570719603,0.4806201550387597,0.4806201550387597,0.4806201550387597,0.5184580366617255,0.4806201550387597,0.4907322984592302
1082,True,BERT,avg,cosine_similarity,Isotonic Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:40,0.64326963673028,0.3955566583832466,0.0011089716587501,0.4923076923076923,0.6536331052460085,0.3971653878942882,0.4088815183342547,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.5656515527483269,0.4923076923076923,0.4837947017051494
1083,True,BERT,avg,cosine_similarity,Linear Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:40,0.591246256527217,0.5834578905508024,1.3866367486775265e-42,0.5508849557522124,0.6652777777777777,0.5200550439292897,0.5607513733829523,0.5508849557522124,0.5508849557522124,0.5508849557522124,0.5970224926253687,0.5508849557522124,0.5591231363471698
1084,True,BERT,avg,cosine_similarity,Linear Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:40,0.6279401185406961,0.4971559444160971,2.058000085551388e-09,0.4883720930232558,0.6357012750455373,0.4675700800915331,0.50998369438621,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.5508112000677765,0.4883720930232558,0.4996724792658681
1085,True,BERT,avg,cosine_similarity,Linear Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:40,0.6607555398039427,0.3773634547159306,0.0019430051020243,0.4769230769230769,0.3166035353535353,0.3554987212276215,0.3323383084577114,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4386509324009324,0.4769230769230769,0.4538231917336395
1086,True,BERT,avg,cosine_similarity,Ridge Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:40,0.5921964998758327,0.5834578905508024,1.3866367486775265e-42,0.5353982300884956,0.6632755018621128,0.5157524434564764,0.555364628626218,0.5353982300884956,0.5353982300884956,0.5353982300884956,0.5948924934305561,0.5353982300884956,0.5479431875160204
