row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
1416,True,BERT,add,cosine_similarity,Isotonic Regression,texas,validation,42,0,0,True,227,2023-05-29 16:51:15,0.9666378670527166,0.3334548634066381,2.526806375673628e-07,0.4078947368421052,0.2156333449436898,0.2043712991988854,0.1464385231626611,0.4078947368421052,0.4078947368421052,0.4078947368421052,0.5862573099415205,0.4078947368421052,0.3390350877192983
1417,True,BERT,add,cosine_similarity,Linear Regression,texas,validation,42,0,0,True,227,2023-05-29 16:51:15,0.9984184824475992,0.2286437173158086,0.0005020190824685,0.3026315789473684,0.2163608562691131,0.1698885405781957,0.0874021909233176,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.5950828907130211,0.3026315789473684,0.1664236883288032
1418,True,BERT,add,cosine_similarity,Ridge Regression,texas,validation,42,0,0,True,227,2023-05-29 16:51:15,0.9984011204356108,0.2286437173158086,0.0005020190824685,0.3026315789473684,0.2161339421613394,0.1698885405781957,0.0871345029239766,0.3026315789473684,0.3026315789473684,0.3026315789473684,0.5946887767363616,0.3026315789473684,0.165958756540474
1419,True,BERT,add,cosine_similarity,Isotonic Regression,english,validation,42,0,0,True,539,2023-05-29 16:51:16,0.7259548036650826,0.5169368833450313,3.1480044476461615e-38,0.5,0.5941713108251717,0.5118818700826541,0.5081734046609435,0.5,0.5,0.5,0.6123017120327916,0.5,0.5130891299854546
1420,True,BERT,add,cosine_similarity,Linear Regression,english,validation,42,0,0,True,539,2023-05-29 16:51:16,0.7478852801925271,0.466655678186277,1.4854223806980634e-30,0.3388888888888889,0.4597573839662447,0.2793764379242764,0.1974958273227903,0.3388888888888889,0.3388888888888889,0.3388888888888889,0.6359860915768089,0.3388888888888889,0.2613590681434249
1421,True,BERT,add,cosine_similarity,Ridge Regression,english,validation,42,0,0,True,539,2023-05-29 16:51:16,0.7477142452688798,0.4666556781862773,1.4854223806979792e-30,0.3407407407407407,0.5110754828247088,0.2806973755219132,0.1967249498780002,0.3407407407407407,0.3407407407407407,0.3407407407407407,0.7009691985956177,0.3407407407407407,0.2608760129305029
1422,True,BERT,add,cosine_similarity,Isotonic Regression,science,validation,42,0,0,True,686,2023-05-29 16:51:16,1.1003021152854355,0.3350481440926164,1.747059567204318e-19,0.3347889374090247,0.376525806651036,0.2582383678456582,0.2287748021813103,0.3347889374090247,0.3347889374090247,0.3347889374090247,0.4172239447174661,0.3347889374090247,0.2924430829534262
1423,True,BERT,add,cosine_similarity,Linear Regression,science,validation,42,0,0,True,686,2023-05-29 16:51:16,1.143617309431468,0.2035644610708504,7.353905115605901e-08,0.3013100436681222,0.1682986221095977,0.2213764309723692,0.1792528518511993,0.3013100436681222,0.3013100436681222,0.3013100436681222,0.2197575526271341,0.3013100436681222,0.245828182793364
1424,True,BERT,add,cosine_similarity,Ridge Regression,science,validation,42,0,0,True,686,2023-05-29 16:51:16,1.1435127694743406,0.2035644610708503,7.353905115605901e-08,0.3013100436681222,0.1684001784511036,0.2213764309723692,0.1793076253437044,0.3013100436681222,0.3013100436681222,0.3013100436681222,0.2200313373985828,0.3013100436681222,0.2460242402662099
1425,True,BERT,add,cosine_similarity,Isotonic Regression,beetle,validation,42,0,0,True,661,2023-05-29 16:51:16,0.4632452786425099,0.3644247386955168,3.1965424619452624e-22,0.6359516616314199,0.651786539858662,0.6062093315587105,0.5902907784480346,0.6359516616314199,0.6359516616314199,0.6359516616314199,0.6486023523890535,0.6359516616314199,0.6055799429528785
1426,True,BERT,add,cosine_similarity,Linear Regression,beetle,validation,42,0,0,True,661,2023-05-29 16:51:17,0.4618112055243743,0.3724482251305864,3.2732644339282873e-23,0.6374622356495468,0.6321943871888378,0.6232993197278911,0.6229209387104124,0.6374622356495468,0.6374622356495468,0.6374622356495468,0.6342901978667542,0.6374622356495468,0.6311982923526889
1427,True,BERT,add,cosine_similarity,Ridge Regression,beetle,validation,42,0,0,True,661,2023-05-29 16:51:17,0.461873946903116,0.3724482251305864,3.2732644339282873e-23,0.6374622356495468,0.6323207607225272,0.6229573351079563,0.6224514044009315,0.6374622356495468,0.6374622356495468,0.6374622356495468,0.6343232299046295,0.6374622356495468,0.6308665673736401
